id,StopArrivalTime,BusArrivalTime,BusDepartureTime,StartStopId,EndStopId,BusType, Num Detours
229,517,579,666,S3,S2,Red,0
230,517,579,666,S3,S2,Red,0
234,532,579,666,S3,S1,Red,0
246,537,579,666,S3,S2,Red,0
249,537,579,666,S3,S1,Red,0
253,540,579,666,S3,S2,Red,0
254,540,579,666,S3,S2,Red,0
256,540,579,666,S3,S1,Red,0
258,540,579,666,S3,S1,Red,0
263,550,579,666,S3,S2,Red,0
269,550,579,666,S3,S1,Red,0
272,551,579,666,S3,S1,Red,0
274,551,579,666,S3,S1,Red,0
278,551,579,666,S3,S1,Red,0
279,551,579,666,S3,S1,Red,0
232,532,593,692,S2,S3,Red,0
247,537,593,692,S2,S3,Red,0
265,550,593,692,S2,S3,Red,0
287,578,593,692,S2,S3,Red,0
291,579,593,692,S2,S3,Red,0
300,579,593,692,S2,S3,Red,0
301,592,593,692,S2,S3,Red,0
308,592,593,692,S2,S3,Red,0
290,578,608,709,S1,S3,Red,0
305,592,608,709,S1,S3,Red,0
307,592,608,709,S1,S3,Red,0
333,602,608,709,S1,S3,Red,0
314,593,611,668,S2,S3,Red,0
331,602,611,668,S2,S1,Red,0
341,608,611,668,S2,S3,Red,0
336,608,625,686,S1,S2,Red,0
318,593,650,757,S3,S2,Red,0
321,602,650,757,S3,S2,Red,0
326,602,650,757,S3,S2,Red,0
327,602,650,757,S3,S2,Red,0
337,608,650,757,S3,S2,Red,0
352,611,650,757,S3,S2,Red,0
360,611,650,757,S3,S2,Red,0
363,611,650,757,S3,S2,Red,0
371,617,650,757,S3,S2,Red,0
375,617,650,757,S3,S2,Red,0
376,617,650,757,S3,S2,Red,0
381,625,650,757,S3,S2,Red,0
391,625,650,757,S3,S2,Red,0
257,540,602,679,S2,S1,Blue,0
264,550,602,679,S2,S3,Blue,0
281,578,602,679,S2,S3,Blue,0
289,578,602,679,S2,S1,Blue,0
262,550,617,699,S3,S2,Blue,0
270,550,617,699,S3,S2,Blue,0
284,578,617,699,S3,S2,Blue,0
304,592,617,699,S3,S2,Blue,0
312,593,617,699,S3,S2,Blue,0
316,593,617,699,S3,S2,Blue,0
317,593,617,699,S3,S2,Blue,0
324,602,617,699,S3,S2,Blue,0
330,602,617,699,S3,S2,Blue,0
348,608,617,699,S3,S2,Blue,0
349,608,617,699,S3,S2,Blue,0
350,608,617,699,S3,S2,Blue,0
356,611,617,699,S3,S2,Blue,0
357,611,617,699,S3,S2,Blue,0
365,611,617,699,S3,S2,Blue,0
315,593,651,739,S1,S2,Blue,0
344,608,651,739,S1,S2,Blue,0
386,625,651,739,S1,S2,Blue,0
401,650,651,739,S1,S2,Blue,0
336,608,625,686,S1,S2,Red,0
338,608,625,686,S1,S3,Red,0
342,608,625,686,S1,S3,Red,0
345,608,625,686,S1,S3,Red,0
370,617,625,686,S1,S3,Red,0
373,617,625,686,S1,S3,Red,0
378,617,625,686,S1,S3,Red,0
303,592,650,757,S3,S1,Red,0
328,602,650,757,S3,S1,Red,0
343,608,650,757,S3,S1,Red,0
369,617,650,757,S3,S1,Red,0
372,617,650,757,S3,S1,Red,0
384,625,650,757,S3,S1,Red,0
393,625,650,757,S3,S1,Red,0
394,625,650,757,S3,S1,Red,0
361,611,668,785,S2,S1,Red,0
418,651,668,785,S2,S1,Red,0
437,666,668,785,S2,S1,Red,0
232,532,593,692,S2,S3,Red,0
241,537,593,692,S2,S1,Red,0
247,537,593,692,S2,S3,Red,0
261,550,593,692,S2,S1,Red,0
265,550,593,692,S2,S3,Red,0
285,578,593,692,S2,S1,Red,0
287,578,593,692,S2,S3,Red,0
291,579,593,692,S2,S3,Red,0
293,579,593,692,S2,S1,Red,0
300,579,593,692,S2,S3,Red,0
301,592,593,692,S2,S3,Red,0
308,592,593,692,S2,S3,Red,0
297,579,608,709,S1,S2,Red,0
313,593,608,709,S1,S2,Red,0
320,593,608,709,S1,S2,Red,0
408,650,666,738,S3,S2,Red,0
411,651,666,738,S3,S2,Red,0
262,550,617,699,S3,S2,Blue,0
267,550,617,699,S3,S1,Blue,0
268,550,617,699,S3,S1,Blue,0
270,550,617,699,S3,S2,Blue,0
271,551,617,699,S3,S1,Blue,0
273,551,617,699,S3,S1,Blue,0
275,551,617,699,S3,S1,Blue,0
276,551,617,699,S3,S1,Blue,0
277,551,617,699,S3,S1,Blue,0
280,551,617,699,S3,S1,Blue,0
283,578,617,699,S3,S1,Blue,0
284,578,617,699,S3,S2,Blue,0
288,578,617,699,S3,S1,Blue,0
294,579,617,699,S3,S1,Blue,0
295,579,617,699,S3,S1,Blue,0
304,592,617,699,S3,S2,Blue,0
306,592,617,699,S3,S1,Blue,0
310,592,617,699,S3,S1,Blue,0
312,593,617,699,S3,S2,Blue,0
316,593,617,699,S3,S2,Blue,0
317,593,617,699,S3,S2,Blue,0
319,593,617,699,S3,S1,Blue,0
323,602,617,699,S3,S1,Blue,0
324,602,617,699,S3,S2,Blue,0
329,602,617,699,S3,S1,Blue,0
330,602,617,699,S3,S2,Blue,0
332,602,617,699,S3,S1,Blue,0
334,602,617,699,S3,S1,Blue,0
339,608,617,699,S3,S1,Blue,0
348,608,617,699,S3,S2,Blue,0
349,608,617,699,S3,S2,Blue,0
350,608,617,699,S3,S2,Blue,0
351,611,617,699,S3,S1,Blue,0
353,611,617,699,S3,S1,Blue,0
355,611,617,699,S3,S1,Blue,0
356,611,617,699,S3,S2,Blue,0
357,611,617,699,S3,S2,Blue,0
359,611,617,699,S3,S1,Blue,0
365,611,617,699,S3,S2,Blue,0
282,578,651,739,S1,S3,Blue,0
